epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
0,6.826431834535728,0.9999993465406051,0.008520820433799273,0.07386271513962775,6.9131325,0.182,0.8739999999809265,0,0,0,1.09e-05
1,6.698297590184079,nan,nan,0.06206024147057943,6.74679625,0.6279999999809265,2.4019999999809265,0,0,0,2.08e-05
2,6.523348440464547,nan,nan,0.08186491090747759,6.61850875,0.8939999999427796,3.490000000152588,0,0,0,3.07e-05
3,6.31591727636415,nan,nan,0.10590402260095143,6.460695,1.427999999923706,5.110000000762939,0,0,0,4.06e-05
4,6.113137604807206,nan,nan,0.11207632034373798,6.23356625,2.3600000009155275,7.46,0,0,0,5.05e-05
5,5.89121279518286,0.999999695568443,0.00806971177210313,0.10098333531718175,5.91850625,3.940000000915527,11.533999998168945,0,0,0,6.0400000000000004e-05
6,5.596080101937127,nan,nan,0.0902523382423188,5.52463125,6.400000000610351,17.370000006713866,0,0,0,7.03e-05
7,5.315974712943573,nan,nan,0.07778928237412569,5.12800625,9.656000002746582,23.90800000366211,0,0,0,8.02e-05
8,5.021105233999751,nan,nan,0.07011719949716191,4.71008125,13.980000005493164,31.504000004882812,0,0,0,9.010000000000001e-05
9,4.70702681171713,nan,nan,0.06265403913686887,4.225915625,19.860000005493163,40.74800001464844,0,0,0,9.964516155915151e-05
10,4.42041688247455,0.9999999042561681,0.011492348411085457,0.05673624884685595,3.733310625,26.850000004882812,50.10200000732422,0,0,0,9.95707641563493e-05
11,4.2114674822032026,nan,nan,nan,3.27109375,33.8839999975586,58.79000002197266,0,0,0,9.948932851320614e-05
12,3.9861695705462608,nan,nan,nan,2.859238125,40.65,65.8740000024414,0,0,0,9.940086748935406e-05
13,3.8284798794798998,nan,nan,nan,2.52074625,46.30999999755859,71.04999999267578,0,0,0,9.930539505381425e-05
14,3.6719992278958205,0.9999998990627978,0.014064163598766713,0.04278398353121073,2.25822,50.94400000854492,74.98200000976563,0,0,0,9.9202926282791e-05
