model_id,norm,constraint_val,adv_train,init_id,current_epoch,status,last_progress_ts,last_time_selected
norm=l2|c=1|adv=1|init=1,l2,1,1,1.0,0,training,2025-10-15 13:34:24+03:00,2025-10-15 13:34:24+03:00
norm=l2|c=1|adv=1|init=2,l2,1,1,2.0,0,training,2025-10-15 13:34:24+03:00,2025-10-15 13:34:24+03:00
norm=l2|c=2|adv=1|init=1,l2,2,1,1.0,0,training,2025-10-15 13:55:06+03:00,2025-10-15 13:55:06+03:00
norm=l2|c=2|adv=1|init=2,l2,2,1,2.0,0,training,2025-10-15 14:08:28+03:00,2025-10-15 14:08:28+03:00
norm=l2|c=4|adv=1|init=1,l2,4,1,1.0,0,training,2025-10-15 14:08:31+03:00,2025-10-15 14:08:31+03:00
norm=l2|c=4|adv=1|init=2,l2,4,1,2.0,0,training,2025-10-15 14:08:35+03:00,2025-10-15 14:08:35+03:00
norm=l2|c=8|adv=1|init=1,l2,8,1,1.0,0,training,2025-10-15 14:08:37+03:00,2025-10-15 14:08:37+03:00
norm=l2|c=8|adv=1|init=2,l2,8,1,2.0,0,training,2025-10-15 14:08:40+03:00,2025-10-15 14:08:40+03:00
norm=linf|c=1|adv=1|init=1,linf,1,1,1.0,16,training,2025-10-15 09:31:30+03:00,2025-10-15 13:34:17+03:00
norm=linf|c=1|adv=1|init=2,linf,1,1,2.0,16,training,2025-10-15 10:02:11+03:00,2025-10-15 13:34:18+03:00
norm=linf|c=2|adv=1|init=1,linf,2,1,1.0,29,waiting,2025-10-13 17:58:45+03:00,2025-10-15 14:08:20+03:00
norm=linf|c=2|adv=1|init=2,linf,2,1,2.0,5,waiting,2025-10-14 07:20:48+03:00,2025-10-15 14:08:25+03:00
norm=linf|c=4|adv=1|init=1,linf,4,1,1.0,111,training,2025-10-14 19:09:20+03:00,2025-10-15 16:42:40+03:00
norm=linf|c=4|adv=1|init=2,linf,4,1,2.0,15,training,2025-10-15 11:59:06+03:00,2025-10-15 13:34:20+03:00
norm=linf|c=8|adv=1|init=1,linf,8,1,1.0,14,training,2025-10-15 11:18:22+03:00,2025-10-15 13:34:20+03:00
norm=linf|c=8|adv=1|init=2,linf,8,1,2.0,0,training,2025-10-15 13:34:22+03:00,2025-10-15 13:34:22+03:00
c=0|adv=0,,0,0,,0,training,2025-10-15 14:08:43+03:00,2025-10-15 14:08:43+03:00
